Game Number,Winner,Pot Size,Number of Players
1,Agent 9,31719.68,3
2,Agent 15,15450.0,3
3,Agent 18,50130.4,4
4,Agent 25,36230.0,4
5,Agent 35,21558.0,2
6,Agent 43,33662.06,2
7,Agent 55,37495.72400000001,3
8,Agent 55,29281.7512,2
9,Agent 68,35944.0,2
10,Agent 80,23005.216,4
11,Agent 82,5244.856,4
12,Agent 82,46420.659519999994,2
13,Agent 103,85644.27952,5
14,Agent 105,52918.32,3
15,Agent 105,9728.96,3
16,Agent 127,121916.48,7
17,Agent 127,86240.8,2
18,Agent 144,133609.91999999995,7
19,Agent 149,46914.67199999998,3
20,Agent 153,82390.4352,7
21,Agent 167,121926.7408,6
22,Agent 153,65630.8,5
23,Agent 182,161731.6,6
24,Agent 188,136350.992,7
25,Agent 199,110391.64,4
26,Agent 188,112033.724,6
27,Agent 212,66406.2636,3
28,Agent 222,152987.2,7
29,Agent 222,37173.6071456,3
30,Agent 212,133150.68,4
31,Agent 212,97355.0,5
32,Agent 254,178425.52000000002,7
33,Agent 254,78483.0624,6
34,Agent 212,140820.82464,7
35,Agent 212,186854.16,8
36,Agent 212,45300.704,4
37,Agent 290,91110.90944000002,8
38,Agent 303,112054.0,7
39,Agent 310,110980.0,7
40,Agent 318,96743.91999999998,5
41,Agent 328,129029.15440000001,9
42,Agent 328,72520.5,4
43,Agent 342,101459.18,6
44,Agent 328,75299.9552,6
45,Agent 328,116869.712,6
46,Agent 370,135916.5664,7
47,Agent 373,151064.2,5
48,Agent 382,154979.55,5
49,Agent 382,93606.24,6
50,Agent 403,181342.094592,7
51,Agent 403,106028.4,6
52,Agent 403,99523.00224,6
53,Agent 403,98418.0,8
54,Agent 432,331197.3830896,8
55,Agent 442,250541.69999999998,9
56,Agent 448,247749.3,9
57,Agent 432,205115.33160000003,9
58,Agent 462,267913.48344,10
59,Agent 470,218451.7,9
60,Agent 470,282907.38,9
61,Agent 487,104166.34360000001,6
62,Agent 493,195170.1488,9
63,Agent 505,156050.58000000002,9
64,Agent 513,171169.2,7
65,Agent 513,138384.0,10
66,Agent 525,161470.4,8
67,Agent 525,58432.4036,8
68,Agent 542,223169.636,10
69,Agent 551,151300.18175999998,10
70,Agent 542,173570.30727360002,10
71,Agent 569,196629.90190512,9
72,Agent 569,240531.2,10
73,Agent 569,222952.3504536,10
74,Agent 594,451989.4,8
75,Agent 594,153386.000508032,10
76,Agent 606,494917.7499407296,10
77,Agent 618,240634.7499745984,10
78,Agent 618,152330.2,10
79,Agent 618,313556.8871999999,10
80,Agent 636,412248.1955712001,10
81,Agent 650,193619.8888928,10
82,Agent 650,64505.298400000014,10
83,Agent 650,108789.0,10
84,Agent 669,108226.0,10
85,Agent 674,131223.0602,9
86,Agent 684,82531.32012,10
87,Agent 691,109973.2012,10
88,Agent 701,118996.08648,10
89,Agent 707,90212.273644192,9
90,Agent 712,127337.0403655936,10
91,Agent 707,111582.49192688128,10
92,Agent 731,108666.06,10
93,Agent 736,99167.6259168,10
94,Agent 741,148024.45955392,10
95,Agent 756,266484.07288,10
96,Agent 756,144820.09712,10
97,Agent 767,280273.64,10
98,Agent 779,267663.64,10
99,Agent 784,139935.63520000002,10
100,Agent 796,119670.45019519998,10
101,Agent 804,164230.92770048,10
102,Agent 807,179078.0,10
103,Agent 807,133138.224,10
104,Agent 807,112751.68800000001,10
105,Agent 807,115572.2212,10
106,Agent 807,115004.794324224,10
107,Agent 843,323880.9521416448,10
108,Agent 843,107950.25712849869,10
109,Agent 843,147493.30566473657,10
110,Agent 871,331636.20007721893,10
111,Agent 871,195914.46859790367,10
112,Agent 882,412784.4,10
113,Agent 891,70692.0536,9
114,Agent 891,175576.16,10
115,Agent 908,361621.9255999997,10
116,Agent 908,152442.24944,10
117,Agent 926,288909.0632516802,8
118,Agent 933,481798.6,9
119,Agent 933,126617.54400066986,9
120,Agent 933,157177.39327987947,10
121,Agent 933,473718.1659729113,7
122,Agent 969,464289.2165972911,9
123,Agent 977,403921.3041493228,9
124,Agent 982,406512.80000000005,9
125,Agent 969,376521.4752,6
126,Agent 1002,351614.00928,8
127,Agent 1002,127784.1,10
128,Agent 1002,362980.23500000004,9
129,Agent 1002,320716.35274999996,10
130,Agent 1002,122678.908225,8
131,Agent 1034,145436.38400000002,10
132,Agent 1049,206112.56090875,9
133,Agent 1058,216899.19999999998,9
134,Agent 1060,278123.6,10
135,Agent 1060,124502.32,10
136,Agent 1060,142082.3761599999,10
137,Agent 1086,427770.671264,10
138,Agent 1092,199963.109921792,10
139,Agent 1104,102280.85440000001,9
140,Agent 1097,100392.27617001467,10
141,Agent 1097,99090.31190867968,10
142,Agent 1114,137625.3752365281,10
143,Agent 1114,126020.68832784845,10
144,Agent 1137,165331.2,10
145,Agent 1137,183150.10656886897,10
146,Agent 1156,249407.5941871526,10
147,Agent 1137,210585.27922495367,10
148,Agent 1171,219219.94494,10
149,Agent 1182,96242.11664767998,10
150,Agent 1188,115102.13400227841,10
151,Agent 1192,119344.59999999999,10
152,Agent 1197,146428.0528,10
153,Agent 1192,198268.3,10
154,Agent 1197,174434.72,10
155,Agent 1221,262529.52,10
156,Agent 1234,212010.7,10
157,Agent 1243,155569.58400000003,10
158,Agent 1247,241593.0,10
159,Agent 1247,122134.37487999999,10
160,Agent 1266,139573.6,10
161,Agent 1266,61211.859840000005,10
162,Agent 1279,224878.65600000005,10
163,Agent 1288,51888.222656,10
164,Agent 1288,133726.65000000002,10
165,Agent 1288,100000.0,10
166,Agent 1310,311498.1988,10
167,Agent 1319,131264.1690816,10
168,Agent 1321,228864.0,10
169,Agent 1333,282204.33236736,10
170,Agent 1333,100330.8,10
171,Agent 1346,152597.26400000002,10
172,Agent 1357,174388.16099200002,10
173,Agent 1364,153232.64063180797,10
174,Agent 1371,126860.8464321536,10
175,Agent 1376,204876.7,10
176,Agent 1376,132099.2,10
177,Agent 1392,128869.84,10
178,Agent 1400,92013.6192,10
179,Agent 1392,256024.34,10
180,Agent 1414,178386.32,10
181,Agent 1421,104196.0,10
182,Agent 1392,112960.9296,10
183,Agent 1392,301007.0496,10
184,Agent 1392,130582.13328,10
185,Agent 1449,421270.60788479995,10
186,Agent 1392,129851.49118272001,10
187,Agent 1392,190992.78597507084,10
188,Agent 1449,236766.77896260607,10
189,Agent 1392,389827.00841495756,10
190,Agent 1449,161384.553,10
191,Agent 1498,281933.3696,10
192,Agent 1498,233683.84,10
193,Agent 1513,365556.41000000003,10
194,Agent 1524,230395.24096000002,10
195,Agent 1533,150439.31999999995,10
196,Agent 1537,158232.272,10
197,Agent 1546,193836.74,10
198,Agent 1557,264964.208,10
199,Agent 1546,203885.8,10
200,Agent 1570,256270.06,10
201,Agent 1570,113532.48,10
202,Agent 1585,97239.20320000002,10
203,Agent 1598,213186.87296,10
204,Agent 1604,215518.84828160002,10
205,Agent 1599,208393.52926218233,10
206,Agent 1604,298213.24896400387,10
207,Agent 1626,209432.73200000002,10
208,Agent 1631,183478.75104,10
209,Agent 1631,291376.2,10
210,Agent 1631,205717.64,10
211,Agent 1654,209736.1599999999,10
212,Agent 1654,98830.729744,10
213,Agent 1666,95400.0,10
214,Agent 1680,135219.50400000002,10
215,Agent 1680,162598.68,10
216,Agent 1666,169846.27279999998,10
217,Agent 1693,152067.80224,10
218,Agent 1704,212471.2,10
219,Agent 1712,234004.05447999996,10
220,Agent 1704,127736.52960000001,10
221,Agent 1724,225825.5,10
222,Agent 1724,82133.24799999999,10
223,Agent 1742,251324.836,10
224,Agent 1752,176930.882184,10
225,Agent 1760,143854.5,10
226,Agent 1763,117931.35,10
227,Agent 1770,109507.785,10
228,Agent 1760,172892.30680000002,10
229,Agent 1787,185429.32176,10
230,Agent 1793,151856.03999999998,10
231,Agent 1805,105151.99232,10
232,Agent 1812,100460.4806144,10
233,Agent 1817,174754.84030719998,10
234,Agent 1817,31991.203347456,10
235,Agent 1817,191639.0,10
236,Agent 1824,189632.41999999998,10
237,Agent 1817,186037.086496,10
238,Agent 1855,215189.65232128004,10
239,Agent 1855,97163.264976,10
240,Agent 1870,155426.65706428795,10
241,Agent 1870,180350.81151796863,10
242,Agent 1890,130949.39760000001,10
243,Agent 1892,245338.8,10
244,Agent 1892,74150.4492,10
245,Agent 1908,258125.812,10
246,Agent 1916,177842.90600000002,10
247,Agent 1916,106294.0,10
248,Agent 1933,195413.49060000002,10
249,Agent 1937,216712.43708959996,10
250,Agent 1937,135379.12,10
251,Agent 1951,155882.662472,10
252,Agent 1958,135182.594869344,10
253,Agent 1951,201554.54367968638,10
254,Agent 1958,206965.92767999994,10
255,Agent 1951,140915.3456,10
256,Agent 1993,247653.11670528,10
257,Agent 2000,335030.19999999995,10
258,Agent 2000,166383.088,10
259,Agent 2013,518653.13535999996,10
260,Agent 2013,117060.60832000001,10
261,Agent 2017,140616.94400000002,10
262,Agent 2035,273912.3148,10
263,Agent 2042,73790.29952,10
264,Agent 2054,220306.0,9
265,Agent 2059,139479.166,10
266,Agent 2065,154940.55565999998,10
267,Agent 2077,96870.184,10
268,Agent 2077,215311.00504960006,10
269,Agent 2077,131646.92533375998,10
270,Agent 2098,203276.16400192,10
271,Agent 2077,318508.0392781184,10
272,Agent 2110,317735.6932271987,10
273,Agent 2077,247895.431476512,10
274,Agent 2128,150938.22265640835,10
275,Agent 2135,243839.8725517295,10
276,Agent 2140,147403.406814976,10
277,Agent 2135,121847.42370884401,10
278,Agent 2160,164485.236,10
279,Agent 2169,112607.87,10
280,Agent 2175,173991.4,10
281,Agent 2185,235788.368,10
282,Agent 2190,95754.70300000007,10
283,Agent 2194,174920.24000000002,10
284,Agent 2194,94425.74399999999,10
285,Agent 2211,203078.0,10
286,Agent 2211,197511.4912,10
287,Agent 2230,158552.872,10
288,Agent 2238,191411.12800000003,10
289,Agent 2248,243133.6976,10
290,Agent 2251,196785.912,10
291,Agent 2263,273411.9,10
292,Agent 2270,198848.28,10
293,Agent 2279,297986.0,10
294,Agent 2279,142416.12799999997,10
295,Agent 2294,272123.51999999996,10
296,Agent 2303,82430.654928,10
297,Agent 2303,109552.376,10
298,Agent 2318,141638.10192000002,10
299,Agent 2323,95700.0,10
300,Agent 2318,54889.051327999965,10
301,Agent 2337,190105.53999999998,10
302,Agent 2344,200764.936,10
303,Agent 2344,114314.94,10
304,Agent 2365,276999.13399999996,10
305,Agent 2367,152798.24704,10
306,Agent 2381,154189.84000000008,10
307,Agent 2384,201294.53328000003,10
308,Agent 2392,260039.66,10
309,Agent 2384,186324.4,9
310,Agent 2409,244047.86799999996,9
311,Agent 2417,240448.54600000003,8
312,Agent 2430,235161.8,10
313,Agent 2417,177711.584,10
314,Agent 2443,137276.7294,10
315,Agent 2453,100438.43617888,10
316,Agent 2460,281241.13545050373,10
317,Agent 2464,67425.8600341287,10
318,Agent 2464,245972.8,10
319,Agent 2464,99947.05600000001,10
320,Agent 2490,329181.4728,10
321,Agent 2490,187233.61857599998,10
322,Agent 2490,191123.62187008,10
323,Agent 2490,130327.24010978082,10
