Game Number,Agent Name,Balance,Games Won
1,Agent 2,0.0,0
1,Agent 3,0.0,0
1,Agent 5,0.0,0
1,Agent 6,70000.0,1
1,Agent 7,0.0,0
1,Agent 10,0.0,0
1,Agent 1,0.0,0
2,Agent 11,4900.0,0
2,Agent 12,40600.0,1
2,Agent 13,4900.0,0
2,Agent 15,4900.0,0
2,Agent 17,4900.0,0
2,Agent 19,4900.0,0
2,Agent 6,64900.0,1
3,Agent 20,5100.0,0
3,Agent 21,5100.0,0
3,Agent 22,5100.0,0
3,Agent 11,0.0,0
3,Agent 12,35700.0,1
3,Agent 19,31900.0,1
4,Agent 27,55574.0,1
4,Agent 12,8019.200000000001,1
5,Agent 35,356.8639999999996,0
5,Agent 12,46344.0,2
5,Agent 32,356.8639999999996,0
6,Agent 12,21080.35264,2
6,Agent 32,13517.0,1
6,Agent 37,0.0,0
6,Agent 41,0.0,0
6,Agent 42,50519.0,1
7,Agent 48,0.0,0
7,Agent 49,46218.0,1
7,Agent 12,10489.812640000002,2
7,Agent 32,2926.4600000000005,1
8,Agent 32,0.0,1
8,Agent 55,264.76112959999955,0
8,Agent 12,33500.5737696,3
9,Agent 63,0.0,0
9,Agent 12,43950.11475392,4
10,Agent 12,95089.17737696,5
10,Agent 65,0.0,0
10,Agent 70,0.0,0
10,Agent 73,0.0,0
11,Agent 74,88134.0,1
11,Agent 79,0.0,0
11,Agent 12,43034.58868848,5
12,Agent 85,0.0,0
12,Agent 90,0.0,0
12,Agent 74,46812.7948590592,1
12,Agent 12,104955.3835475392,6
13,Agent 91,0.0,0
13,Agent 92,0.0,0
13,Agent 95,36046.0,1
13,Agent 12,98958.2920514094,7
14,Agent 12,18873.687615422823,7
14,Agent 99,0.0,0
14,Agent 104,0.0,0
14,Agent 95,143570.0,2
15,Agent 108,4950.0,0
15,Agent 109,4950.0,0
15,Agent 110,4950.0,0
15,Agent 114,30400.0,1
15,Agent 12,13823.687615422823,7
16,Agent 12,4711.8438077114115,7
16,Agent 109,24586.0,1
17,Agent 120,40350.0,1
17,Agent 123,0.0,0
17,Agent 125,0.0,0
17,Agent 109,14286.0,1
18,Agent 128,3920.0,0
18,Agent 133,3920.0,0
18,Agent 134,3920.0,0
18,Agent 109,32576.0,2
19,Agent 134,0.0,0
19,Agent 109,25456.0,2
19,Agent 136,2880.0,0
19,Agent 141,2880.0,0
19,Agent 128,16060.0,1
20,Agent 142,10250.0,1
21,Agent 154,20100.0,1
21,Agent 142,3940.0,1
22,Agent 142,27360.0,2
22,Agent 164,0.0,0
22,Agent 154,3218.4,1
23,Agent 166,60558.0,1
23,Agent 167,0.0,0
23,Agent 171,0.0,0
23,Agent 172,0.0,0
23,Agent 142,12152.0,2
24,Agent 173,0.0,0
24,Agent 174,0.0,0
24,Agent 177,0.0,0
24,Agent 166,99481.8,2
25,Agent 182,0.0,0
25,Agent 184,0.0,0
25,Agent 185,0.0,0
25,Agent 187,0.0,0
25,Agent 188,70200.0,1
25,Agent 189,0.0,0
25,Agent 166,89481.8,2
26,Agent 193,0.0,0
26,Agent 195,58183.0,1
26,Agent 188,42247.520000000004,1
27,Agent 198,68049.0,1
27,Agent 199,0.0,0
27,Agent 204,0.0,0
27,Agent 205,0.0,0
27,Agent 188,19348.512000000002,1
28,Agent 206,0.0,0
28,Agent 208,0.0,0
28,Agent 209,0.0,0
28,Agent 213,54544.0,1
28,Agent 198,52078.1904,1
28,Agent 188,3377.7024000000006,1
