Game Number,Agent Name,Balance,Games Won
1,Agent 1,37360.0,1
1,Agent 11,10000,0
1,Agent 12,10000,0
1,Agent 13,10000,0
1,Agent 14,10000,0
1,Agent 15,10000,0
1,Agent 16,10000,0
1,Agent 17,10000,0
1,Agent 18,10000,0
1,Agent 19,10000,0
2,Agent 11,24270.0,1
2,Agent 20,10000,0
2,Agent 21,10000,0
2,Agent 22,10000,0
2,Agent 23,10000,0
2,Agent 24,10000,0
2,Agent 25,10000,0
2,Agent 26,10000,0
2,Agent 27,10000,0
2,Agent 28,10000,0
3,Agent 25,60000.0,1
3,Agent 11,14270.0,1
3,Agent 29,10000,0
3,Agent 30,10000,0
3,Agent 31,10000,0
3,Agent 32,10000,0
3,Agent 33,10000,0
3,Agent 34,10000,0
3,Agent 35,10000,0
3,Agent 36,10000,0
4,Agent 31,26290.0,1
4,Agent 37,10000,0
4,Agent 38,10000,0
4,Agent 39,10000,0
4,Agent 40,10000,0
4,Agent 41,10000,0
4,Agent 42,10000,0
4,Agent 43,10000,0
4,Agent 44,10000,0
4,Agent 45,10000,0
5,Agent 31,86389.6,2
5,Agent 46,10000,0
5,Agent 47,10000,0
5,Agent 48,10000,0
5,Agent 49,10000,0
5,Agent 50,10000,0
5,Agent 51,10000,0
5,Agent 52,10000,0
5,Agent 53,10000,0
5,Agent 54,10000,0
6,Agent 31,133648.372,3
6,Agent 55,10000,0
6,Agent 56,10000,0
6,Agent 57,10000,0
6,Agent 58,10000,0
6,Agent 59,10000,0
6,Agent 60,10000,0
6,Agent 61,10000,0
6,Agent 62,10000,0
6,Agent 63,10000,0
7,Agent 31,175327.3488,4
7,Agent 64,10000,0
7,Agent 65,10000,0
7,Agent 66,10000,0
7,Agent 67,10000,0
7,Agent 68,10000,0
7,Agent 69,10000,0
7,Agent 70,10000,0
7,Agent 71,10000,0
7,Agent 72,10000,0
8,Agent 68,50100.0,1
8,Agent 31,165327.3488,4
8,Agent 73,10000,0
8,Agent 74,10000,0
8,Agent 75,10000,0
8,Agent 76,10000,0
8,Agent 77,10000,0
8,Agent 78,10000,0
8,Agent 79,10000,0
8,Agent 80,10000,0
9,Agent 74,64110.0,1
9,Agent 31,155327.3488,4
9,Agent 81,10000,0
9,Agent 82,10000,0
9,Agent 83,10000,0
9,Agent 84,10000,0
9,Agent 85,10000,0
9,Agent 86,10000,0
9,Agent 87,10000,0
9,Agent 88,10000,0
10,Agent 74,100846.0,2
10,Agent 89,10000,0
10,Agent 90,10000,0
10,Agent 91,10000,0
10,Agent 92,10000,0
10,Agent 93,10000,0
10,Agent 94,10000,0
10,Agent 95,10000,0
10,Agent 96,10000,0
10,Agent 97,10000,0
11,Agent 74,141044.856,3
11,Agent 98,10000,0
11,Agent 99,10000,0
11,Agent 100,10000,0
11,Agent 101,10000,0
11,Agent 102,10000,0
11,Agent 103,10000,0
11,Agent 104,10000,0
11,Agent 105,10000,0
11,Agent 106,10000,0
12,Agent 101,63083.0,1
12,Agent 74,98661.3992,3
12,Agent 107,10000,0
12,Agent 108,10000,0
12,Agent 109,10000,0
12,Agent 110,10000,0
12,Agent 111,10000,0
12,Agent 112,10000,0
12,Agent 113,10000,0
12,Agent 114,10000,0
13,Agent 109,73834.0,1
13,Agent 101,14748.900000000001,1
13,Agent 115,10000,0
13,Agent 116,10000,0
13,Agent 117,10000,0
13,Agent 118,10000,0
13,Agent 119,10000,0
13,Agent 120,10000,0
13,Agent 121,10000,0
13,Agent 122,10000,0
14,Agent 101,62015.0,2
14,Agent 109,36867.0,1
14,Agent 123,10000,0
14,Agent 124,10000,0
14,Agent 125,10000,0
14,Agent 126,10000,0
14,Agent 127,10000,0
14,Agent 128,10000,0
14,Agent 129,10000,0
14,Agent 130,10000,0
15,Agent 101,127545.25,3
15,Agent 131,10000,0
15,Agent 132,10000,0
15,Agent 133,10000,0
15,Agent 134,10000,0
15,Agent 135,10000,0
15,Agent 136,10000,0
15,Agent 137,10000,0
15,Agent 138,10000,0
15,Agent 139,10000,0
16,Agent 136,119372.0,1
16,Agent 101,58772.625,3
16,Agent 140,10000,0
16,Agent 141,10000,0
16,Agent 142,10000,0
16,Agent 143,10000,0
16,Agent 144,10000,0
16,Agent 145,10000,0
16,Agent 146,10000,0
16,Agent 147,10000,0
17,Agent 141,980.0,0
17,Agent 143,980.0,0
17,Agent 144,980.0,0
17,Agent 145,980.0,0
17,Agent 146,980.0,0
17,Agent 140,55550.0,1
17,Agent 148,10000,0
17,Agent 149,10000,0
17,Agent 150,10000,0
17,Agent 151,10000,0
18,Agent 140,48196.0,1
18,Agent 149,25708.0,1
18,Agent 151,2646.0,0
18,Agent 152,10000,0
18,Agent 153,10000,0
18,Agent 154,10000,0
18,Agent 155,10000,0
18,Agent 156,10000,0
18,Agent 157,10000,0
18,Agent 158,10000,0
19,Agent 140,75824.464,2
19,Agent 159,10000,0
19,Agent 160,10000,0
19,Agent 161,10000,0
19,Agent 162,10000,0
19,Agent 163,10000,0
19,Agent 164,10000,0
19,Agent 165,10000,0
19,Agent 166,10000,0
19,Agent 167,10000,0
20,Agent 160,48050.0,1
20,Agent 168,10000,0
20,Agent 169,10000,0
20,Agent 170,10000,0
20,Agent 171,10000,0
20,Agent 172,10000,0
20,Agent 173,10000,0
20,Agent 174,10000,0
20,Agent 175,10000,0
20,Agent 176,10000,0
21,Agent 160,93413.6,2
21,Agent 177,10000,0
21,Agent 178,10000,0
21,Agent 179,10000,0
21,Agent 180,10000,0
21,Agent 181,10000,0
21,Agent 182,10000,0
21,Agent 183,10000,0
21,Agent 184,10000,0
21,Agent 185,10000,0
22,Agent 179,2469.6000000000004,0
22,Agent 184,36703.6,1
22,Agent 186,10000,0
22,Agent 187,10000,0
22,Agent 188,10000,0
22,Agent 189,10000,0
22,Agent 190,10000,0
22,Agent 191,10000,0
22,Agent 192,10000,0
22,Agent 193,10000,0
23,Agent 179,3444.0,1
23,Agent 184,63984.3,2
23,Agent 194,10000,0
23,Agent 195,10000,0
23,Agent 196,10000,0
23,Agent 197,10000,0
23,Agent 198,10000,0
23,Agent 199,10000,0
23,Agent 200,10000,0
23,Agent 201,10000,0
24,Agent 194,75536.0,1
24,Agent 184,9567.645,2
24,Agent 202,10000,0
24,Agent 203,10000,0
24,Agent 204,10000,0
24,Agent 205,10000,0
24,Agent 206,10000,0
24,Agent 207,10000,0
24,Agent 208,10000,0
24,Agent 209,10000,0
25,Agent 209,39867.0,1
25,Agent 194,65536.0,1
25,Agent 210,10000,0
25,Agent 211,10000,0
25,Agent 212,10000,0
25,Agent 213,10000,0
25,Agent 214,10000,0
